"Id";"Name";"YearRange";"ReleaseDate";"Director";"Creator";"Cast";"Duration";"RatingValue";"ContentRating";"Genre";"Url";"Description"
"dirty_dozen_the_the_fatal_mission";"The Dirty Dozen: The Fatal Mission";"1987 1988 1989";"Feb 14, 1988 Wide";"Lee H. Katzin";"Mark Rodgers";"Heather Thomas,Telly Savalas,Ernest Borgnine,Hunt Block,Matthew Burton,Jeff Conaway,Alex Cord,Erik Estrada,Ernie Hudson,James Carrol Jordan,John Matuszak,Natalia Nogulich,Anthony Valentine,Richard Yniguez,Branko Blace,Matko Raguz,Ranko Zidaric,Ray Armstrong,Greg Charles,Drew Lucas,Derek Hoxby,Richard Garnett,Ivo Kristof,Ray Mancini,Slavko Juraga,Sreten Mokrovic,Damir Saban,Robert Vaughn,Ray 'Boom Boom' Manc...";"1 hr. 31 min.";;"Unrated";"Action & Adventure,Television";"http://www.rottentomatoes.com/m/dirty_dozen_the_the_fatal_mission/";"Made for television, this is the third sequel to the popular war adventure. This time, a group of rag-tag soldiers must somehow shape up and take on a group of Nazi soldiers who are riding the Orient Express to Istanbul to establish their latest empire."
"what_to_expect_when_youre_expecting";"What to Expect When You're Expecting";"2011 2012 2013";"May 18, 2012 Wide";"Kirk Jones";"Heidi Murkoff,Shauna Cross,Heather Hach";"Cameron Diaz,Matthew J. Morrison,Jennifer Lopez,Elizabeth Banks,Anna Kendrick,Brooklyn Decker,Dennis Quaid,Chace Crawford,Rob Huebel,Ben Falcone,Chris Rock,Rodrigo Santoro,Joe Manganiello,Tom Lennon,Amir Talai,Rebel Wilson,Wendi McLendon-Covey,Dwyane Wade,Whitney Port,Megan Mullally,Cheryl Cole,Tyce Diorio,Taboo,Kim Fields,Jesse Burch,Mimi Gianopulos,Genesis Rodriguez,Tom Clark,Taylor Kowalski,Aerli Austen,Katie Kneeland,Bree Dawn Shannon,Kelley Hinman,Jon Stafford,Rhoda Griffis,Elizabeth Becka,Catherine Dyer,Brian Bascle,Dr. Sharon Morris Ma...,Eric Mendenhall,Maria Howell,Sharon Gee,Scott Poythress,Nico Ward,Cynthia Evans,Pamela Smith,Jimi Kocina,Jasmine Kaur,Valerie Payton,Andrew Arthur Medlin,Andrew Laws,Richard Mitchell,Jessie Ward,Hannah Kasulka,Wilbur Fitzgerald,Todd J. Smith,Africa Miranda,Tegga Lendado,Matthew Lintz,Emily Westergreen,Reginald Womack,Resean Womack,Resea Womack,David Thwaites,Veronica Yung,Steve Coulter,Cornelia Brianna Mor...,Heena Sabnani,Charles David McDona...,Richard Meeder, Jr.,Nico Gutierrez,William Wayne Viar,Anthony J. Carrozza,Lewis Jeffrey Pike,Kristy Foggitt,Becky Simmons,Macsen Lintz,Adam Baaklini,Chelsea Cardwell,Catherine Barrow,Tricia Miranda,Ryan DiLello,Bart Hansard,Dougie Jones,Zenia Boyd,Michael H. Cole,Megan Hayes,Julie Ivey,Pamela Smith (XXI)";;"4.4/10,4.6/10";"PG-13 (for crude and sexual content, thematic elements and language)";"Drama,Romance,Comedy";"http://www.rottentomatoes.com/m/what_to_expect_when_youre_expecting/";"Over the moon about starting a family, TV fitness guru Jules and dance show star Evan find that their high-octane celebrity lives don't stand a chance against the surprise demands of pregnancy. Baby-crazy author and advocate Wendy gets a taste of her own militant mommy advice when pregnancy hormones ravage her body$% while Wendy's husband, Gary, struggles not to be outdone by his competitive alpha-Dad, who's expecting twins with his much younger trophy wife, Skyler. Photographer Holly is prepared,to travel the globe to adopt a child, but her husband Alex isn't so sure, and tries to quiet his panic by attending a 'dudes' support group, where new fathers get to tell it like it really is. And rival food truck chefs Rosie and Marco's surprise hook-up results in an unexpected quandary: what to do when your first child comes before your first date? -- (C) Lionsgate"
"free_radicals_a_history_of_experimental_film";"Free Radicals: A History of Experimental Film";"2011 2012 2013";"Aug 3, 2012 Limited";"Pip Chodorov";"Pip Chodorov,Lucy Allwood";;"1 hr. 22 min.";"7.1/10";"Unrated";"Documentary,Television";"http://www.rottentomatoes.com/m/free_radicals_a_history_of_experimental_film/";"Filmmaker and film activist Pip Chodorov offers this affectionate overview of some of the leading figures of 20th century experimental film. Narrating in a personal and plainspoken manner ('I'd like you to meet some of my friends and see their films'), Chodorov combines clips and even films in their entirety with conversations with such luminaries as Hans Richter, Robert Breer, Michael Snow, Peter Kubelka and Stan Brakhage in his final recorded interview. -- (C) Kino Lorber"
"paran-daemun-the-birdcage-inn-blue-gate";"Paran daemun (The Birdcage Inn) (Blue Gate)";"1997 1998 1999";"Oct 31, 1998 Wide";"Ki-duk Kim";;;;;"Unrated";"Art House & International,Drama";"http://www.rottentomatoes.com/m/paran-daemun-the-birdcage-inn-blue-gate/";"Streetwise Jin-a moves into a boarding house run by a small, close-knit family. But her unacceptable behavior threatens to destroy them all."
"1042582-aladdin";"Aladdin";"1991 1992 1993";"Nov 11, 1992 Wide";"John Musker,Ron Clements";"Ron Clements,John Musker,Ted Elliot,Terry Rossio,Ted Elliott";"Robin Williams,Scott Weinger,Linda Larkin,Jonathan Freeman,Frank Welker,Lea Salonga,John Freeman,Brad Kane,Gilbert Gottfried,Douglas Seale,Charlie Adler,Jack Angel,Philip L. Clarke,Corey Burton,Philip Clarke,Jim Cummings,Jennifer Darling,Debi Derryberry,Bruce Gooch,Jerry Houser,Vera Lockwood,Sherry Lynn,Mickie T. McGowan,Patrick Pinney,Phil Proctor,David Friedman,Albert Tavares,Charles Adler,Philip Proctor";"1 hr. 30 min.";"8.1/10,8.2/10";"G";"Action & Adventure,Animation,Kids & Family,Musical & Performing Arts,Comedy";"http://www.rottentomatoes.com/m/1042582-aladdin/";"Robin Williams's dizzying and hilarious voicing of the Genie is the main attraction of Aladdin, the third in the series of modern Disney animated movies that began with 1989's The Little Mermaid and heralded a new age for the genre. After a sultan (Douglas Seale) gives his daughter, Jasmine (Linda Larkin), three days to find a husband, she escapes the palace and encounters the street-savvy urchin Aladdin (Scott Weinger), who charms his way into her heart. While the sultan's Vizier, Jafar,(Jonathan Freeman), weaves a spell so that he may marry Jasmine and become sultan himself, Aladdin discovers the Genie's lamp in a cave, rubs it, and sets the mystical entity free, leading the Genie to pledge his undying loyalty to the dazzled youth. Aladdin begins his quest to defeat Jafar and win the hand of the princess, with the Genie's help. Monsters, Disney's trademark talking animals, and a flying carpet all figure into the ensuing adventures, but Williams' Genie, who can change into anything or anybody, steals the show as he launches into one crazed monologue after another, impersonating figures from Ed Sullivan to Elvis Presley. ~ Don Kaye, Rovi"
"martin_the_cobbler";"Martin the Cobbler";"1976 1977 1978";"Jun 1, 1977 Wide";"Will Vinton";;;;;"Unrated";"Faith & Spirituality,Kids & Family";"http://www.rottentomatoes.com/m/martin_the_cobbler/";"This claymation program tells Leo Tolstoy's story Where Love Is God Is. Narrated by Tolstoy's daughter Alexandra and directed by Will Vinton, Martin The Cobbler centers around an old man named Martin who is depressed and lost after the deaths of his wife and son. Too old to work, Martin feels he has nothing to live for until a pilgrim leaves him an ancient book in need of a new binding. Soon, the old man is able to think of others besides himself and sees life in a new light."
"the-rainmakers1935";"The Rainmakers";"1934 1935 1936";"Oct 25, 1935 Wide";"Fred Guiol";"Garrett Grant,Leslie Goodwins";;"1 hr. 15 min.";;"Unrated";"Comedy";"http://www.rottentomatoes.com/m/the-rainmakers1935/";"Comical inventors Wheeler and Woolsey attempt to bring rain to a drought-stricken California bean-growing community in this comedy."
"from_dusk_till_dawn_3_the_hangmans_daughter";"From Dusk Till Dawn 3: The Hangman's Daughter";"1999 2000 2001";"Jan 18, 2000 Wide";"P. J. Pesce,P.J. Pesce";"Robert Rodriguez,Álvaro Rodríguez";"Michael Parks,Sonia Braga,Rebecca Gayheart,Marco Leonardi,Temuera Morrison,Ara Celi,Danny Keogh,Lennie Loftin,Orlando Jones,Danny Trejo,Jordana Spiro,Kevin Smith,Terence Bridgett,Mickey Giacomazzi,Ivan Lucas,Tom Berto,Graham Weir,Carlos Vilela,Richard Thomson,Lance Kadish,Pierre Neethling,Kevin Smith";"1 hr. 33 min.";"4/10";"R";"Action & Adventure,Horror";"http://www.rottentomatoes.com/m/from_dusk_till_dawn_3_the_hangmans_daughter/";"An outlaw who recently defied death by escaping his noose is on the run with his gang and the daughter of his intended executioner in this prequel to the 1996 series original, From Dusk Til Dawn."
"1006646-enforcer";"The Enforcer";"1975 1976 1977";"Jan 1, 1976 Wide";"James Fargo,Allen E. Smith";"S.W. Schurr,Stirling Silliphant,Dean Riesner";"Clint Eastwood,Tyne Daly,Harry Guardino,Bradford Dillman,DeVeren Bookwalter,John Mitchum,John Crawford,Samantha Doane,Albert Popwell,Robert Hoy,Jocelyn Jones,M.G. Kelly,Rudy Ramos,Bill Ackridge,Joe Bellan,Jan Stratton,Will MacMillian,Jerry Walter,Michael Cavanaugh,Dick Durock,Robert Behling,John Roselius,Brian Fong,Chuck Hicks,Fritz Manes,Nick Pellegrino,Bill Jelliffe,Terry McGovern";"1 hr. 36 min.";"6.3/10";"R";"Drama,Action & Adventure,Mystery & Suspense";"http://www.rottentomatoes.com/m/1006646-enforcer/";"Number three in the Dirty Harry series, The Enforcer equips macho cop Harry Callahan (Clint Eastwood) with a female assistant, Kate Moore (Tyne Daly). Their quarry is a terrorist organization which has kidnapped the mayor of San Francisco (John Crawford). Harry goes undercover, attempting to root out the terrorists by beating up anybody who looks at him cross-eyed. When Harry and Kate discover that the mayor is being held at Alcatraz Island, it is only a matter of time before the climactic,bloodbath. The Enforcer cleared enough at the box office to warrant yet another Dirty Harry opus, Sudden Impact."
"open_windows_2013";"Open Windows";"2013 2014 2015";"Nov 7, 2014 Limited";"Nacho Vigalondo";"Nacho Vigalondo";"Elijah Wood,Sasha Grey,Neil Maskell,Adam Quintero,Ivan Gonzalez,Michelle Jenner,Julián Villagrán,Carlos Areces,Raul Cimas,Miguel Noguera,Nacho Vigalondo,Richard Diment,Eugenio Mira,Nancy Yao,Luis Sanchez-Cañete,Luis Sanchez,Eugenio Mira,Jaime Olías,Ivan Gonzales,Brian Lee Elder";"1 hr. 40 min.";"5.3/10,3.4/10";"Unrated";"Mystery & Suspense";"http://www.rottentomatoes.com/m/open_windows_2013/";"Nick is excited to discover that he's won a dinner date with his favorite actress, Jill Goddard. But when Jill refuses to honor the contest, her manager Chord makes an offer he can't refuse: the ability to view Jill secretly via computer. Nick begins watching the unknowing star on her webcam, not realizing that this decision will put both himself and Jill at risk as they enter a terrifying world of cat-and-mouse where nothing-and no one-are as they seem."
"what_women_want";"What Women Want";"2000 2001 2002";"May 1, 2001 Wide";"Nancy Meyers";"Josh Goldsmith,Cathy Yuspa,Nancy Meyers";"Helen Hunt,Mel Gibson,Marisa Tomei,Alan Alda,Ashley Johnson,Mark Feuerstein,Lauren Holly,Delta Burke,Valerie Perrine,Lisa Edelstein,Ana Gasteyer,Loretta Devine,Judy Greer,Sarah Paulson,Diana-Maria Riva,Andrea E. Taylor,Bette Midler,Alexondra Lee,Andrea Taylor,Eric Balfour,John Frazier,Joe Petcka,Brian Callaway,Coby Goss,Christian Michel,Perry Cavitt,Crystal McKinney,Jeanine Renick,Kathrin Lautner,Logan Lerman,Kelly Cooper,Palmer Davis,Katie Miller,Dana Waters,Gregory Cupoli,Aviva Gale,Shirley Prestia,TJ Thyne,Norman H. Smith,Audrey Wasilewski,Angela Oh,Robert Briscoe Evans,Chris Rolfes,Katie Kneeland,Jeanine O'Connell,Kelley Hazen,Brooke Elliott,Kristina Martin,Harmony Rousseau,Lisa Long,Heidi Helmer,Marla Martensen,Sally Meyers-Kovler,Ashley Quirico,Regan Rohde,Liz Tannenbaum,LeShay Tomlinson,Cristine Rose,Arden Myrin,Rachel Duncan,Alex McKenna,Regiane Gorksi,Juliandra Gillen,Lisa Anne Hillman,Tracy Pacheco,Ashlee Turner,Jamie Gutterman,Maggie Egan,Juanita Jennings,Robin Pearson Rose,Hallie Meyers-Shyer,Laura Quicksilver,Kate Asner,Caryn Greenhunt,Jennifer Greenhut,Marnie Mosiman,Sierra Pecheur,Nnenna Freelon,Gil Hacohen,Nancy Monsarat,Jacqueline Thomas,Rory Rubin,Chris Emerson,Victoria Kelleher,Gertrude Wong,Andi Eystad,Thomas Webb,Andy Lau,Li Gong,Julian Chen,Li Chengru,Russell Wong,Wang Deshun,Hu Jing";;"5.7/10,5.8/10";"PG-13 (for sexual content and language)";"Comedy";"http://www.rottentomatoes.com/m/what_women_want/";"After an accident, a chauvenistic executive gains the ability to hear what women are really thinking."
"cake_2015";"Cake";"2014 2015 2016";"Jan 23, 2015 Wide";"Daniel Barnz";"Patrick Tobin";"Jennifer Aniston,Anna Kendrick,Adriana Barraza,Sam Worthington,Chris Messina,Mamie Gummer,Felicity Huffman,William H. Macy,Brittany Robertson,Lucy Punch";"1 hr. 38 min.";"5.8/10,5.8/10";"R (for language, substance abuse and brief sexuality)";"Drama";"http://www.rottentomatoes.com/m/cake_2015/";"The acerbic, hilarious Claire Simmons becomes fascinated by the suicide of a woman in her chronic pain support group."
"jack_strong";"Jack Strong";"2014 2015 2016";"Jul 24, 2015 Limited";"Wladyslaw Pasikowski";"Wladyslaw Pasikowski";;;"";"Unrated";"Drama,Action & Adventure,Mystery & Suspense";"http://www.rottentomatoes.com/m/jack_strong/";"This film tells the true story of Colonel Ryszard Kuklinski - a man who singlehandedly wages a battle against the Soviets from his position deep inside the system. Thanks to his determination, he begins working with the CIA, a risky and emotionally draining cooperation that will last many years. From now on, the lives of Kuklinski and his family are in danger, and one wrong move may have tragic consequences."
"1001560-bad_guys";"Bad Guys";"1985 1986 1987";"Jun 1, 1986 Wide";"Joel Silberg";"Brady W. Setwater,Joe Gillis";;"1 hr. 26 min.";;"PG (violence)";"Action & Adventure,Mystery & Suspense,Comedy";"http://www.rottentomatoes.com/m/1001560-bad_guys/";"When a couple of inept cops are kicked off the police force, they decide to attempt to make their living as professional wrestlers. Known as the 'Boston Bag Guys,' they are soon pitted against a team managed by an arch rival of their manager."
"1099397-king_of_comedy";"The King of Comedy (Hei kek ji wong)";"1998 1999 2000";"Feb 13, 1999 Wide";"Lik-Chi Lee,Stephen Chow";;;;;"Unrated";"Drama,Romance,Art House & International,Comedy";"http://www.rottentomatoes.com/m/1099397-king_of_comedy/";"Wan Tin-sau (Stephen Chiau) is a struggling actor who has devoted his life to the study of his craft, but unfortunately the moment he gets on a film set, disaster usually strikes. However, Wan refuses to give up, and is busy trying to stage a traditional Asian drama, 'Thunderstorm,' when he gets an unusual job offer. Piu-piu (Cecilia Cheung) is a bar girl who wants to be able to feign a greater interest in her customers, so she hires Wan to give her private acting lessons. The longer they work,together, the more they find they have in common, and before long Wan and Piu-Piu are in love. Heikek Chi Wong was a major box-office success in Hong Kong, where it was the top money maker for the Chinese New Year season$% Jackie Chan makes a cameo appearance as an extra, and Stephen Chiau in turn had a bit part in Chan's romantic comedy Bolei Cheun, released at the same time. ~ Mark Deming, Rovi"
"puccini-and-the-young-girl";"Puccini and the Young Girl (Puccini e la fanciulla)";"2007 2008 2009";"Jan 1, 2008 Wide";"Paolo Benvenuti";;;;;"Unrated";"Art House & International,Drama";"http://www.rottentomatoes.com/m/puccini-and-the-young-girl/";"A true story from the life of the great Italian composer Giacomo Puccini provides the basis for this historical drama from writer and director Paolo Benvenuti. In 1909, Puccini (Riccardo J. Moretti) was hard at work on 'La Fanciulla del West' when he found himself in the center of a scandal after the death of his housekeeper Doria (Tania Squillario). The story began when Doria entered the room of Puccini's teenage stepdaughter Fosca (Debora Mattiello) and found her in bed with her boyfriend.,Eager to silence Doria before she tells anyone what she's seen, Fosca goes to her mother Elvira (Giovanna Daddi) and tells her that she's certain the housekeeper has been sleeping with Puccini on the sly. While Elvira's suspicions that her husband has been unfaithful are soon confirmed, the truth is that Puccini is having an affair with a barmaid named Giulia (Federica Chezzi), not Doria. But Doria bears a certain resemblance to Giulia, and she now finds herself blamed for an indiscretion for which she's blameless. Puccini e la Fanciulla (aka Puccini and the Girl) was an official selection at the 2008 Venice Film Festival. ~ Mark Deming, Rovi"
"crow_the_city_of_angels";"The Crow: City of Angels";"1995 1996 1997";"Aug 30, 1996 Wide";"Tim Pope";"David S. Goyer";"Vincent Perez,Mia Kirshner,Richard Brooks (VI),Iggy Pop,Thomas Jane,Vincent Castellanos,Thuy Trang,Eric Acosta (XI),Ian Dury,Tracey Ellis,Beverley Mitchell,Aaron Thell Smith,Alan Gelfant,Shelly Desai,Holley Chant,Kerry Rossall,Reynaldo Duran,Danny Verduzco,Maria Julia Moran,Richard Brooks";"1 hr. 24 min.";"3.4/10,3.2/10";"R (For strong violence, drug content, language and sexuality.)";"Action & Adventure,Science Fiction & Fantasy";"http://www.rottentomatoes.com/m/crow_the_city_of_angels/";"It is said that when a man dies wrongfully, a crow may bring him back to life to seek vengeance upon his killer. Like the first Crow, this revenge saga is set in a fantastical urban nightmare and is based upon the dark comic book stories of artist James O. Barr. The first film was set in a horrifying Detroit. The second is set in a similar version of Los Angeles. This time, the crow flies on behalf of Ashe, a motorcycle mechanic who was murdered along with his young son after they have witnessed,a murder. After rising from the dead, Ashe dons the traditional black garb and funereal white pancake make-up that marks the crow's chosen one. While getting his violent revenge, Ashe is befriended by Sarah, a tattoo expert with great knowledge of the crow legend. Together, they defeat the vile criminals Curve and Kali."
