"animal_crackers";"Animal Crackers";"1929 1930 1931";"Aug 28, 1930 Limited";"Victor Heerman";"George S. Kaufman,Morrie Ryskind,Morris Ryskind";"Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Louis Sorin,Lillian Roth,Margaret Dumont,Hal Thompson,Margaret Irving,Kathryn Reece,Robert Greig,Earl Metcalfe,Ann Roth,Donald MacBride,Marx Brothers,Edward Metcalf,The Music Masters";"1 hr. 38 min.";"7.9/10";"G";"Classics,Comedy";"http://www.rottentomatoes.com/m/animal_crackers/";"This movie is an all-but-literal translation to film of a smash-hit Marx Bros. Broadway musical. When the aristocratic Mrs. Rittenhouse holds a weekend party, her guest of honor is famed African explorer Geoffrey T. Spaulding. The plot involves a stolen painting, but the main attraction is the Marx brothers."
"my_tutor";"My Tutor";"1982 1983 1984";"Mar 4, 1983 Wide";"George Bowers";"Joe Roberts";"Caren Kaye,Matt Lattanzi,Kevin McCarthy,Clark Brandon,Bruce Bauer,Arlene Golonka,Crispin Glover,Amber Denyse Austin,John Vargas,Maria Melendez,Graem McGavin,Rex Ryon,Kathleen M. Shea,Brioni Farrell,Shelley Taylor Morga...,Francesca 'Kitten' N...,Jewel Shepard,Michael Yama,Robin Harlene Honeyw...,Mora Gray,Jim Kester,Derek Partridge,Gene Gene Patton,Eric Lantis,Lyle Kanouse,Marilyn Tokuda,Jacqueline Jacobs";"1 hr. 37 min.";;"R";"Drama,Comedy";"http://www.rottentomatoes.com/m/my_tutor/";"In this standard young teen/older woman sex story, Bobby (Matt Lattanzi) has had trouble with French at school, and sex out of school, and so his rich parents hire a winsome 30-year-old tutor (Caren Kaye) to help him with the first subject, without thinking that she would help him with the second as well. The father (Kevin McCarthy) is not exactly subtle about his interest in the tutor, but the discerning woman prefers his much more sensitive son. A few comic moments with Bobby's friends trying,to teach him about sex, and a more respectful treatment of the sexual relationship between the tutor and young teen alleviates some of the otherwise, run-of-the-mill storyline."
"trader_horn";"Trader Horn";"1930 1931 1932";"May 23, 1931 Wide";"W.S. Van Dyke";"E. Richard Schayer,Cyril Hume,Dale Van Every,John T. Neville,Richard Schayer";;"2 hr. 3 min.";"7.1/10";"Unrated";"Classics,Action & Adventure";"http://www.rottentomatoes.com/m/trader_horn/";"A major undertaking for M-G-M and the first non-documentary production to be filmed in Africa, Trader Horn starred the veteran Harry Carey in the title-role, Aloysius 'Trader' Horn, a white explorer in Darkest Africa. Travelling up a heretofore undiscovered river, Horn and his young companion Peru (Duncan Renaldo) experience strange and disturbing behavior from the native population. As Horn explains: 'When the Masai and the Kukua Tribes get together, the devil is certainly involved.' Along with,their native tracker Renchero (Mutia Omoolo), Horn and Peru encounter Mrs. Edith Trent (Carey's wife Olive Golden), whom Horn calls 'the bravest woman in all of Africa,' and who is determined to trek above the perilous Opanga Falls in search of her missing daughter Nina, rumored to be the captive of the Isorgi tribe. Although refusing to let Horn and Peru accompany her -- because 'the presence of white males with guns will only startle the warriors into violence' -- Mrs. Trent consents to let the men follow her at a distance. Horn discovers the elderly woman's slain body soon after and pledges to continue the search for her missing daughter. After encountering sundry ferocious wildlife fauna along their way, our heroes finally locate Nina (Edwina Booth), who instead of being kept prisoner turns out to be a sadistic white goddess ruling the tribe with an iron fist. Having immediately sentenced the intruders to the stake, Nina has a change of heart in the last moment and agrees instead to accompany them back to civilization. After braving a series of hair raising perils, during one of which Ranchero sacrifices his life to protect his charges, the group are shown to safety by a tribe of pygmies."
"spawn_3_the_ultimate_battle";"Spawn 3: The Ultimate Battle";"1998 1999 2000";"May 31, 1999 Wide";"Frank Paur,Jennifer Jason Leigh,Keith David,Richard Dysart,Todd McFarlane";;;;;"Unrated (adult situations/language, nudity, violence)";"Science Fiction & Fantasy,Horror";"http://www.rottentomatoes.com/m/spawn_3_the_ultimate_battle/";"Animated. For mature audiences only."
"hancock";"Hancock";"2007 2008 2009";"Jun 16, 2008 Wide";"Peter Berg";"Vincent Gilligan,Vince Gilligan,Vy Vincent Ngo";"Will Smith,Charlize Theron,Jason Bateman,Eddie Marsan,Johnny Galecki,Thomas Lennon,Jae Head,David Mattey,Maetrix Fitten,Hayley Marie Norman,Dorothy Cecchi,Michelle Lemon,Akiva Goldsman,Michael Mann,Brad Leland,Trieu Tran,Darrell Foster,Liz Wicker,Taylor Gilbert,Caroll Tohme,Barbara Ali,Ryan Radis,Elizabeth Dennehy,Darren Dowler,John Frazier,Daeg Faerch,Matthew King,Matt King,Martin Magdaleno,Ronald W. Howard,Gregg L. Daniel,Nancy Grace,Atticus Shaffer,Aaron Henderson,Huy Nguyen,Mary-Jessica Pitts,Kalee St. Clair,Don Gibb,Donald Gibb,Ralph Richeson,Allan Havey,Timothy Brennen,Tim Brennen,Anthony Ledesma,Steven Pierce,Dominic Prampin,Daniel Quinn,Mars Crain,Jack Axelrod,Eddie J. Fernandez,Martin Klebba,Richard W. Gallegos,Marc Geschwind,Rob Maron,Aisha Jau,Pritam Singh,Cher Calvin,Bill McMullen,Eddie Fernandez,Daren Dowler,Valerie Azlynn,Lauren Hill";;"5.4/10,5.1/10";"PG-13 (for some intense sequences of sci-fi action and violence, and language)";"Drama,Action & Adventure,Comedy";"http://www.rottentomatoes.com/m/hancock/";"A hard-drinking lush finds himself thrust into superhero mode in director Peter Berg's unconventional look at the private life of a crime-fighter. Will Smith stars as the embittered do-gooder whose lifestyle is more akin to a rock star than a role model, and who has grown as disillusioned with his once-admiring public as they have of him. ~ Jason Buchanan, Rovi"
"pitch_perfect";"Pitch Perfect";"2011 2012 2013";"Oct 5, 2012 Limited";"Jason Moore";"Kay Cannon,Jeff Roda";"Anna Kendrick,Skylar Astin,Rebel Wilson,Ben Platt,Brittany Snow,Anna Camp,Alexis Knapp,Michael Dean Ester,Hana Mae Lee,Kelley Alice Jakle,Wanetah Walmsley,Shelley Regner,Caroline Fourmy,Nicole Lovince,Adam DeVine,Utkarsh Ambudkar,Michael Viruet,David Del Rio,Elizabeth Banks,John Michael Higgins,John Benjamin Hickey,Freddie Stroma,Jinhee Joung,Jacob Wysocki,Jawan Harris,Richard Kohnke,Scott Shilstone,Brock Vincent Kelly,Drew Battles,Katrina DeSpain,Cameron Deane Stewar...,Kether Donohue,Karen Gonzales,Lauren Gros,Alex Biglane,Michael Alexander,Tyler Forrest,Christopher Mintz-Pl...";;"6.4/10,6.4/10";"PG-13 (for sexual material, language and drug references)";"Musical & Performing Arts,Comedy";"http://www.rottentomatoes.com/m/pitch_perfect/";"Beca (Anna Kendrick) is that girl who'd rather listen to what's coming out of her headphones than what's coming out of you. Arriving at her new college, she finds herself not right for any clique but somehow is muscled into one that she never would have picked on her own: alongside mean girls, sweet girls and weird girls whose only thing in common is how good they sound when they sing together, in the new out-loud comedy Pitch Perfect. When Beca takes this acoustic singing group out of their,world of traditional arrangements and perfect harmonies into all-new mash-ups, they fight to climb their way to the top of the cutthroat world of college a cappella. This could wind up either the coolest thing they'll ever do or the most insane, and it will probably be a little of both. -- (C) Universal"
"big_house";"The Big House";"1929 1930 1931";"May 14, 1930 Wide";"George Hill,George W. Hill";"Frances Marion,Martin Flavin,Joseph Farnham,Lennox Robinson";"Wallace Beery,Robert Montgomery,Chester Morris,Karl Dane,Lewis Stone,Leila Hyams,George F. Marion,J.C. Nugent,DeWitt Jennings,Matthew Betz,Claire McDowell,Robert E. O'Connor,Robert Emmett O'Conn...,Tom Wilson,Eddie Foyer,Roscoe Ates,Fletcher Norton,Adolph Seidel,Tom Kennedy,Eddie Lambert,Michael Vavitch";"1 hr. 27 min.";"7.2/10";"Unrated";"Drama,Classics";"http://www.rottentomatoes.com/m/big_house/";"Based on the true story of the terrible 1929 prison riot at Auburn, New York, Big House, with its gripping and graphic depiction of the brutality and ugliness of life in the joint is still considered among the most powerful prison dramas ever made$% it also marks one of Wallace Beery's finest performances. The story centers on a trio of vicious convicts who are trying to escape the horrible confines of the prison--conditions that only serve to harden them more."
"tcm_presents_dracula";"Tcm Presents Dracula";"2014 2015 2016";"Oct 28, 2015 Limited";"Tod Browning";"Bram Stoker,Hamilton Deane";;;;"Unrated";"Horror,Special Interest";"http://www.rottentomatoes.com/m/tcm_presents_dracula/";"Fathom Events, Turner Classic Movies and Universal Pictures Home Entertainment are thrilled to present a double-feature event of the classic 1931 vampire film Dracula to cinemas nationwide for a two-day event on Sunday, October 25 and Wednesday, October 28. Along with the iconic Bela Lugosi version, horror fans will have the opportunity to see the Spanish language version shot at night with a different cast. (C) 2015 Universal Studios. All rights reserved."
"dish_dogs";"Dish Dogs";"1999 2000 2001";"Aug 29, 2000 Wide";"Bob Kubilos,Robert Kubilos";"Ashley Scott Meyers,Nathan Ives";;"1 hr. 35 min.";"";"R (adult situations/language, nudity)";"Drama,Action & Adventure,Comedy";"http://www.rottentomatoes.com/m/dish_dogs/";"After college, pals Morgan and Jason defy convention by working as restaurant dishwashers while seeking the best surfing sites. However, when Morgan meets stripper Anne and Morgan returns to old flame Molly, the two buddies face a possible wipeout of their friendship."
"teenage_mutant_ninja_turtles_2013";"Teenage Mutant Ninja Turtles";"2013 2014 2015";"Aug 8, 2014 Wide";"Jonathan Liebesman";"Evan Daugherty,Josh Appelbaum,André Nemec";"Megan Fox,Alan Ritchson,Pete Ploszek,Johnny Knoxville,Jeremy Howard,Noel Fisher,Will Arnett,Tony Shalhoub,Danny Woodburn,William Fichtner,Whoopi Goldberg,Tohoru Masamune,Minae Noji,Abby Elliott,Madison Mason,Taran Killam,K. Todd Freeman,Paul Fitzgerald,Malina Weissman,Venida Evans,Mikal A. Vega,Harley Pasternak,Braeson Herold,Chris Wylde,Chance Kelly,Rick Chambers,Leyna Nguyen,Derek Mears";;"4.2/10,3.8/10";"PG-13 (for sci-fi action violence)";"Action & Adventure,Science Fiction & Fantasy";"http://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_2013/";"The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April O'Neil (Megan Fox) and her wise-cracking cameraman Vern Fenwick (Will Arnett) to save the city and unravel Shredder's diabolical plan. Based on,the Teenage Mutant Ninja Turtles Characters Created by PETER LAIRD and KEVIN EASTMAN with a Screenplay by JOSH APPELBAUM & ANDRÉ NEMEC and EVAN DAUGHERTY, Teenage Mutant Ninja Turtles is produced by MICHAEL BAY (director and executive producer of the blockbuster Transformers franchise), Andrew Form, Brad Fuller, Galen Walker, Scott Mednick and Ian Bryce, and directed by JONATHAN LIEBESMAN (Wrath of the Titans).(c) Paramount"
"1043958-posse";"Posse";"1992 1993 1994";"May 14, 1993 Wide";"Mario Van Peebles";"Sy Richardson,Dario Scardapane";"Mario Van Peebles,Richard Jordan,Stephen Baldwin,Charles Lane,Tommy 'Tiny' Lister ...,Big Daddy Kane,Billy Zane,Blair Underwood,Tommy 'Tiny' Lister,Melvin Van Peebles,Salli Richardson-Whi...,Tone Loc,Pam Grier,Vesta Williams,Isaac Hayes,Paul Bartel,Nipsey Russell,Lawrence Cook,Woody Strode,Robert Hooks,Richard Gant,Stephen J. Cannell,Reginald VelJohnson,Reginald Hudlin,Pat Golden,Warrington Hudlin,Tone-Loc,Richard Edson,Aaron Neville,James Bigwood,Mark Buntzman,Sandra Ellis Laffert...,Christopher Michael,Bob Minor,Steve Reevis,Sy Richardson,Frank Soto,David Jean Thomas,Eugene Brooks,Salli Richardson";"1 hr. 49 min.";"5.1/10";"R";"Western,Action & Adventure,Art House & International";"http://www.rottentomatoes.com/m/1043958-posse/";"Fast-paced and hard-hitting, this off-beat western tells the tale of a band of African American soldiers who escape the military shortly after the Spanish-American War. They are chased by their bigoted, cruel and plumb-crazy colonel and his henchmen. More trouble comes when the riders discover that a crooked white sheriff is harassing residents of a tiny African-American community."
"sinister_2012";"Sinister";"2011 2012 2013";"Oct 12, 2012 Wide";"Scott Derrickson";"Scott Derrickson,C. Robert Cargill,Scott Derrickson &amp";"Ethan Hawke,Juliet Rylance,Fred Dalton Thompson,James Ransone,Michael Hall D'Addar...,Clare Foley,Rob Riley,Tavis Smiley,Janet Zappala,Victoria Leigh,Cameron Ocasio,Ethan Haberfield,Danielle Kotch,Blake Mizrahi,Nick King,Vincent D'Onofrio";;"6.2/10,6.1/10";"R (for disturbing violent images and some terror)";"Horror";"http://www.rottentomatoes.com/m/sinister_2012/";"Sinister is a frightening new thriller from the producer of the Paranormal Activity films and the writer-director of The Exorcism of Emily Rose. Ethan Hawke plays a true crime novelist who discovers a box of mysterious, disturbing home movies that plunge his family into a nightmarish experience of supernatural horror. -- (C) Summit"
"son_of_rambow";"Son of Rambow";"2006 2007 2008";"Jan 22, 2007 Wide";"Garth Jennings";"Garth Jennings";"Will Poulter,Bill Milner,Neil Dudgeon,Jules Sitruk,Tallulah Evans,Emile Chesnais,Anna Wing,Jules Sitruck,Paul Ritter,Finola McMahon,Rachel Mureatroyd,Richardson Taylor,Peter Robinson,Charlie Thrift,Sam Kubrick-Finney,James Clarke,Zofia Brooks,Denise Orita,Eric Sykes,Ed Westwick,Lee Long,Adam Paul Harvey,Atila Emirali,Dave Shaw,Adam Godley,Asa Butterfield,Adam Buxton,Edgar Wright,Imogen Aboud,Louise Jennings,Sam Spivack,Robert Styles,Jessica Stevenson";;"6.8/10,6.8/10";"PG-13 (for some violence and reckless behavior)";"Comedy";"http://www.rottentomatoes.com/m/son_of_rambow/";"It all begins in 1980s Britain, when young Will Proudfoot, raised in isolation among The Brethren, a puritanical religious sect in which music and TV are strictly forbidden, encounters something beyond his wildest fantasies: a pirated copy of 'Rambo: First Blood.' His virgin viewing of the iconic thriller blows his mind--and rapidly expanding imagination--wide open. Now, Will sets out to join forces with the seemingly diabolical school bully, Lee Carter, to make their own action epic, devising,wildly creative, on-the-fly stunts, not to mention equally elaborate schemes for creating a movie of total commitment and non-stop thrills while hiding out from The Brethren. But when school popularity finally descends on Will and Lee in the form of the super-cool French exchange student, Didier Revol, their remarkable new friendship and precious film are pushed, quite literally, to the breaking point."
"far_and_away";"Far and Away";"1991 1992 1993";"May 22, 1992 Wide";"Ron Howard";"Bob Dolman,Ron Howard";"Tom Cruise,Nicole Kidman,Thomas Gibson,Robert Prosky,Barbara Babcock,Cyril Cusack,Ellen Pollock,Eileen Pollock,Colm Meaney,Michelle Johnson,Douglas Gillison,Wayne Grace,Barry McGovern,Niall Toibin,Rance Howard,Clint Howard,Gene Armor,Rick Bartz,Gary Lee Davis,Jody Bradley,Jared Harris,Frank Coughland,Steven O'Donnell,Richard Foronjy,Peadar Lamb,Cynthia Haffield,Mark Mulholland,P.J. Brady,Tony Hamilton,Tommy Redmond Hicks,Wesley Murphy,Robin Jameson,Jimmy Keogh,J.G. Devlin,Laura Johnson,Gerry Walsh,Brendan Cauldwell,Joanne Laura,Barry Laws,Derry Power,Paul Lyell,Noel O'Donovan,MacDara O'Fatharta,Eileen Colgan,Jan Marlyn,Kate Flynn,Kim McKamy,Scott Mitchell,Joan O'Hara,Frankie McCafferty,Karen Rea,Poll Moussilides,Jerry Recter,Pat Kinevane,Donncha Crowley,Rick Zeller,Tim McDonnell,Todd Hallowell,Kenneth McCluskey,Brendan Ellis,Jeffrey Andrews,Judith McIntyre,Rynagh O'Grady,Martin Ewen,Brendan Gleeson,Frank Coughlan,Hoke Howell,Arnold Kuenning,Rocco Sisto,Michael Ruud,DonRe Sampson,Harry Webster,Mark Wheeler,William Preston Robe...,Pauline McLynn,Joanne McAteer,Elizabeth Kemler,Cara Wilder,Aedin Moloney,Helen Montague,John-Clay Scott,Clay Lilley,Cole McKay,James Jude Courtney,Jeff Ramsey,Anthony De Longis,Carl N. Ciarfalio,Tim Monich,Alecia LaRue,Ian Elliot,Bobby Huber,Julie Donatt,Louisa Marie,Brian Munn,Bob Dolman,Phillip V. Caruso,Tom Lucy,James Courtney,Carl Ciarfalio,Gary Lee Reed,Rick Johnson,Michael Madsen";"2 hr. 20 min.";"5.2/10";"PG-13 (for some violence and sensuality)";"Drama,Romance,Classics";"http://www.rottentomatoes.com/m/far_and_away/";"In the 19th century, an impoverished Irish tenant farmer and his ruthless landlord's ambitious daughter journey together to America, seeking to join the Oklahoma land rush, in this epic drama. During their trip West they overcome numerous setbacks and reluctantly begin to fall in love."
"the-music-of-shrek-2";"The Music of Shrek 2";"2003 2004 2005";"Nov 5, 2004 Wide";"Vince Oken";;;;;"Unrated";"Documentary";"http://www.rottentomatoes.com/m/the-music-of-shrek-2/";""
