"Id";"Name";"YearRange";"ReleaseDate";"Director";"Creator";"Cast";"Duration";"RatingValue";"ContentRating";"Genre";"Url";"Description"
"1006208-dr_jekyll_and_mr_hyde";"Dr. Jekyll and Mr. Hyde";"1940 1941 1942";"Aug 12, 1941 Wide";"Rouben Mamoulian,Victor Fleming";"John Lee Mahin";"Spencer Tracy,Ingrid Bergman,Lana Turner,Donald Crisp,Ian Hunter,Barton MacLane,C. Aubrey Smith,Peter Godfrey,Sara Allgood,Frederic Worlock,William Tannen,Frances Robinson,Denis Green,Billy Bevan,Forrester Harvey,Lumsden Hare,Lawrence Grant,John Barclay,Doris Lloyd,Gwen Gaze,Hillary Brooke,Mary Field,Aubrey Mather,Frederic March";;"6.7/10";"Unrated";"Drama,Horror,Classics,Science Fiction & Fantasy";"http://www.rottentomatoes.com/m/1006208-dr_jekyll_and_mr_hyde/";"Spencer Tracy and Ingrid Bergman headline this screen version of Robert Louis Stevenson's tale, directed by Gone with the Wind and Wizard of Oz legend Victor Fleming. Tracy stars as Dr. Jekyll, a scientist who downs an experimental elixir that transforms him into a monstrous alter-ego, Mr. Hyde. Lana Turner co-stars as Jekyll's fiancée, and Bergman as Eva, the woman who captures his heart. A film steeped in heavy Freudian symbolism, this production also tries something unusual by relying largely,on Tracy's shift in facial mannerisms (in lieu of heavy make-up) to convey the personality change. As a result, the movie manages to place a much stronger emphasis on emotions than on the terror of physical mutation. Neither critics nor audiences bought it: the film fell prey to critical castigation when it hit movie screens in mid-August 1941, with many indicating that they vastly prefer the 1931 Rouben Mamoulian/Fredric March version. Still, this one has its defenders."
"trader_horn";"Trader Horn";"1930 1931 1932";"May 23, 1931 Wide";"W.S. Van Dyke";"E. Richard Schayer,Cyril Hume,Dale Van Every,John T. Neville,Richard Schayer";;"2 hr. 3 min.";"7.1/10";"Unrated";"Classics,Action & Adventure";"http://www.rottentomatoes.com/m/trader_horn/";"A major undertaking for M-G-M and the first non-documentary production to be filmed in Africa, Trader Horn starred the veteran Harry Carey in the title-role, Aloysius 'Trader' Horn, a white explorer in Darkest Africa. Travelling up a heretofore undiscovered river, Horn and his young companion Peru (Duncan Renaldo) experience strange and disturbing behavior from the native population. As Horn explains: 'When the Masai and the Kukua Tribes get together, the devil is certainly involved.' Along with,their native tracker Renchero (Mutia Omoolo), Horn and Peru encounter Mrs. Edith Trent (Carey's wife Olive Golden), whom Horn calls 'the bravest woman in all of Africa,' and who is determined to trek above the perilous Opanga Falls in search of her missing daughter Nina, rumored to be the captive of the Isorgi tribe. Although refusing to let Horn and Peru accompany her -- because 'the presence of white males with guns will only startle the warriors into violence' -- Mrs. Trent consents to let the men follow her at a distance. Horn discovers the elderly woman's slain body soon after and pledges to continue the search for her missing daughter. After encountering sundry ferocious wildlife fauna along their way, our heroes finally locate Nina (Edwina Booth), who instead of being kept prisoner turns out to be a sadistic white goddess ruling the tribe with an iron fist. Having immediately sentenced the intruders to the stake, Nina has a change of heart in the last moment and agrees instead to accompany them back to civilization. After braving a series of hair raising perils, during one of which Ranchero sacrifices his life to protect his charges, the group are shown to safety by a tribe of pygmies."
"big_mommas_house";"Big Momma's House";"1999 2000 2001";"Jun 2, 2000 Wide";"Raja Gosnell";"Darryl Quarles,Don Rhymer";"Martin Lawrence,Nia Long,Paul Giamatti,Jascha Washington,Terrence Howard,Anthony Anderson,Ella Mitchell,Carl Wright,Phyllis Applegate,Starletta DuPois,Jessie Mae Holmes,Nicole Prescott,Octavia Spencer,Tichina Arnold,Cedric the Entertain...,Philip Tan,Edwin Hodge,Aldis Hodge,Brian Palermo,Brian Paul Stuart,Sarah Zinsser,Sean Lampkin,Tony McEwing,Sean Thibodeau,Ramsey Luke,Rosi Rosi,Minnie O. Burton,Rita Fagan-Lewis,John Eddins,Louis Archie Shackle...,Tameka Holmes,Ellis Hall,Terence DaShon Howar...";;"4.4/10,4.3/10";"PG-13 (for crude humor including sexual innuendo, and for language and some violence)";"Action & Adventure,Comedy";"http://www.rottentomatoes.com/m/big_mommas_house/";"In this comedy, a cop assumes a new identity in his valiant battle against crime: an elderly grandmother! Malcolm Turner (Martin Lawrence) is an FBI agent who is a master of disguise and will stop at nothing to get his man. When a bank robber escapes from prison and goes on a violent crime spree, Malcolm is assigned to bring him in. The thief's girlfriend Sherry (Nia Long), who is also the mother of his child, lives in a small Southern town, and Malcolm plans to set up a stake-out in the house,across the street from Sherry's. However, the house is owned by Big Momma (Ella Mitchell), an older woman with a sharp tongue and no patience for back talk, and when Big Momma has to leave town, it leaves her house suspiciously empty. Determined to maintain his cover, Malcolm disguises himself as Big Momma, and now has to convince Sherry (and everyone else in the neighborhood) that Big Momma's still in town. Big Momma's House gained considerable pre-production publicity when Lawrence fell into a coma while jogging in a heat wave before the film's start date$% Lawrence claimed that he was trying to lose weight to fit more comfortably into his character's 'fat suit.' ~ Mark Deming, Rovi"
"frankenstein_2015";"Victor Frankenstein";"2014 2015 2016";"Nov 25, 2015 Wide";"Paul McGuigan";"Max Landis,Mary Shelley";;;;"PG-13 (for macabre images, vioelnce and a sequence of destruction)";"Drama";"http://www.rottentomatoes.com/m/frankenstein_2015/";"James McAvoy and Daniel Radcliffe star in a dynamic and thrilling twist on a legendary tale. Radical scientist Victor Frankenstein (McAvoy) and his equally brilliant protégé Igor Strausman (Radcliffe) share a noble vision of aiding humanity through their groundbreaking research into immortality. But Victor's experiments go too far, and his obsession has horrifying consequences. Only Igor can bring his friend back from the brink of madness and save him from his monstrous creation. (C) Fox"
"1007818-frankenstein";"Frankenstein";"1930 1931 1932";"Nov 21, 1931 Wide";"James Whale";"Francis Edward Faragoh,Garrett Fort,John L. Balderston,Garrett Elsden Fort,Francis Edwards Faragoh";"Colin Clive,Boris Karloff,Mae Clarke,John Boles,Edward Van Sloan,Dwight Frye,Frederick Kerr,Lionel Belmore,Michael Mark,Marilyn Harris,Arletta Duncan,Pauline Moore,Francis Ford";"1 hr. 10 min.";"8.7/10,7.8/10";"Unrated";"Horror,Classics,Science Fiction & Fantasy,Special Interest";"http://www.rottentomatoes.com/m/1007818-frankenstein/";"'Frankenstein' is a film about a mad, obsessed scientist, Dr. Henry Frankenstein', who creates a monster, by taking body parts from dead people. Upon placing a brain inside the head of the monster, Henry and his assistant Fritz are amazed that the experiment is alive. When the monster mistakenly kills Maria, a young girl he meets down by the river, the town is up in arms and aims to bring the monster to justice. They find the monster and his creator in an old windmill, where the monster is,attempting to kill his maker."
"big_house";"The Big House";"1929 1930 1931";"May 14, 1930 Wide";"George Hill,George W. Hill";"Frances Marion,Martin Flavin,Joseph Farnham,Lennox Robinson";"Wallace Beery,Robert Montgomery,Chester Morris,Karl Dane,Lewis Stone,Leila Hyams,George F. Marion,J.C. Nugent,DeWitt Jennings,Matthew Betz,Claire McDowell,Robert E. O'Connor,Robert Emmett O'Conn...,Tom Wilson,Eddie Foyer,Roscoe Ates,Fletcher Norton,Adolph Seidel,Tom Kennedy,Eddie Lambert,Michael Vavitch";"1 hr. 27 min.";"7.2/10";"Unrated";"Drama,Classics";"http://www.rottentomatoes.com/m/big_house/";"Based on the true story of the terrible 1929 prison riot at Auburn, New York, Big House, with its gripping and graphic depiction of the brutality and ugliness of life in the joint is still considered among the most powerful prison dramas ever made$% it also marks one of Wallace Beery's finest performances. The story centers on a trio of vicious convicts who are trying to escape the horrible confines of the prison--conditions that only serve to harden them more."
"tcm_presents_dracula";"Tcm Presents Dracula";"2014 2015 2016";"Oct 28, 2015 Limited";"Tod Browning";"Bram Stoker,Hamilton Deane";;;;"Unrated";"Horror,Special Interest";"http://www.rottentomatoes.com/m/tcm_presents_dracula/";"Fathom Events, Turner Classic Movies and Universal Pictures Home Entertainment are thrilled to present a double-feature event of the classic 1931 vampire film Dracula to cinemas nationwide for a two-day event on Sunday, October 25 and Wednesday, October 28. Along with the iconic Bela Lugosi version, horror fans will have the opportunity to see the Spanish language version shot at night with a different cast. (C) 2015 Universal Studios. All rights reserved."
"1154157-big_mommas_house_2";"Big Momma's House 2";"2005 2006 2007";"Jan 27, 2006 Wide";"John P. Whitesell,Elton LeBlanc,Emily Procter,Emily Proctor,Kat Dennings,Marisol Nichols,Mark Moses,Martin Lawrence,Michelle Parylak,Nia Long,Sarah Brown,Stacy Keibler,John Whitesell";"Don Rhymer";"Martin Lawrence,Nia Long,Emily Procter,Zachary Levi,Mark Moses,Kat Dennings,Chloe Grace Moretz,Elton LeBlanc,Marisol Nichols,Josh Flitter,Dan Lauria,Jascha Washington,Jessica Anderson,Preston Shores,Preston and Trevor S...,Patrick Blanchard,Sarah Brown,Trevor Shores,Rhoda Griffis,Kevin Durand,Cameron Daddo,Christopher Jones,Kirk B.R. Woller,Mark Joy,Christopher Tavarez,Bryan James Kitto,Ramsey Luke,Lonnie Lamont,Marcus Lyle Brown,Shanna Moakler,Yvonne Landry,Lisa Arrindell Ander...,Mehera Blum,Wendy Braun,Ann Mahoney,Deneen Tyler,Max Van Ville,Sean Lampkin,William Ragsdale,Kelly Dowdle,Arthur Simone,Stocker Fontelieu,Amy Morris,Michelle Parylak,Deena Dill,Paige Butcher,Lucy Wolvert,Jeanene Fox,Tim Soergel,Emil Beheshti,Vincent Berry,Bishop Clifford M. J...,Regal T. Riser,Roxanne Reese,John Gipson,Roland 'Bob' Harris,Samantha Beaulieu,Donna DuPlantier,Victor Talmadge,Danny,Trixie Friendly,Brian Gross,Yuji Okumoto,Jessica White,Andy Stahl,Danny Denzongpa,Sarah Joy Brown,Anthony Anderson,Emily Proctor,Stacy Keibler,George S. Clinton";;"3.1/10,3.6/10";"PG-13 (for some sexual humor and a humorous drug reference)";"Comedy";"http://www.rottentomatoes.com/m/1154157-big_mommas_house_2/";"An FBI agent finds himself crossing the gender line again in the name of national security in this sequel to the comedy hit Big Momma's House. Tom Fuller (Mark Moses) is a computer whiz who is under investigation by the FBI, who suspect he may be the man behind a dangerous piece of underground software that would allow terrorists and criminals to access secured intelligence files online. The Bureau is looking for a way to get inside Fuller's home to find out what he's doing when a golden,opportunity presents itself -- Fuller and his wife, Leah (Emily Procter), are in the market for a nanny to help look after their three children. The FBI sends in Malcolm Turner (Martin Lawrence), who will once again impersonate feisty septuagenarian Hattie Mae Pierce, better known as 'Big Momma.' Big Momma gets the job, but while trying to dig up the truth about Fuller's possible criminal connections, Malcolm also finds himself developing a close relationship with the suspect's wife and kids. Malcolm also finds himself offering unlikely romantic advice to his new partner, Kevin (Zachary Levi), and developing a new appreciation of the day-to-day travails of his wife, Sherrie (Nia Long)."
"1038237-platinum_blonde";"Platinum Blonde";"1930 1931 1932";"Oct 31, 1931 Limited";"Frank Capra";"Harry Chandlee,Douglas W. Churchill,Robert Riskin,Jo Swerling,Dorothy Howell";;"1 hr. 29 min.";"7.2/10";"Unrated";"Romance,Classics,Comedy";"http://www.rottentomatoes.com/m/1038237-platinum_blonde/";"A rather bleak comedy-drama from Frank Capra, Platinum Blonde basically starts where Capra's later and much more buoyant It Happened One Night (1934) ends: the marriage between a brash newspaperman and a society dame. But where the latter comedy was enhanced by the director's patented optimism, Platinum Blonde, produced at the height of the Great Depression, expresses no faith in a common ground between the classes. Star reporter Stew Smith (Robert Williams) falls in love with the sister (Jean,Harlow) of his latest victim (Donald Dillaway). They marry despite the misgivings of Ann Schuyler's blue-nosed mother (Louise Closser Hale) and Stew's cynical colleagues ('Ann Schuyler's in the blue book. You're not even in the phone book!'). Unable to stand life in a gilded cage for long, Stew upsets the Schuyler mansion by inviting his friends to a wild and woolly party. Returning home unexpected in the middle of the drunken revelry, Ann lays down the law and Stew bolts -- right into the arms of girl reporter Gallagher (Loretta Young), whom he has loved all along without realizing it. Jean Harlow is surprisingly realistic as the callous society girl but Robert Williams' wisecracking reporter comes across as rather grating. An up-and-coming comic lead, Williams died after an operation for appendicitis on November 3, 1931, less than a month after Platinum Blonde had premiered to mostly positive reviews. Ironically, Loretta Young, who received top billing, had demanded to star in this film when it was still known as 'Gallagher,' the name of her character. Harlow, needless to stay, stole the limelight completely and Capra changed the title much to Young's chagrin."
"1006236-dracula";"Dracula";"1978 1979 1980";"Jul 20, 1979 Wide";"John Badham";"Bram Stoker,Hamilton Deane,W.D. Richter";"Frank Langella,Donald Pleasence,Kate Nelligan,Laurence Olivier,Trevor Eve,Jan Francis,Tony Haygarth,Janine Duvitski,Teddy Turner,Kristine Howatih,Kristine Howarth,Joe Belcher,Ted Carroll,Anthony Haygarth,Frank Birch,Gabor Vernon,Sylvester McCoy,Frank Henson,Peter Wallis";"1 hr. 50 min.";"6/10";"R";"Drama,Horror,Romance,Art House & International";"http://www.rottentomatoes.com/m/1006236-dracula/";"In the late '70s, Frank Langella starred in the hit Broadway play Dracula, written by Hamilton Deane and John L. Balderston. Langella's charisma and the surreal, black-and-white sets designed by cartoonist Edward Gorey were the chief outstanding features of the play, which was otherwise undistinguished. While this film production of the play boasts performances by stage veterans Lord Laurence Olivier and Donald Pleasance, as well as Frank Langella as the suavest of counts, it was neither a,critical nor a box-office success, doubtlessly because expectations ran too high. One highlight of this production is its skillful use of special effects. The standard story of Bram Stoker's original novel is re-created here: the undead count arranges to move from his home in Transylvania to Whitby, and once there, a reign of terror begins. He is opposed by the canny Doctor Van Helsing (Laurence Olivier), who eventually triumphs. ~ Clarke Fountain, Rovi"
"hells_angels";"Hell's Angels";"1929 1930 1931";"Nov 15, 1930 Limited";"Edmund Goulding,Howard Hughes,Marshall Neilan,Luther Reed,James Whale,Howard R. Hughes";"Marshall Neilan,Harry Behn,Howard Estabrook,Joseph Moncure March";;"2 hr. 15 min.";"7/10";"PG";"Drama,Action & Adventure,Classics";"http://www.rottentomatoes.com/m/hells_angels/";"No one was surprised in 1929 that aviation mogul Howard R. Hughes would produce a paean to World War I flying aces like Hell's Angels. Given Hughes' comparative inexperience as a moviemaker, however, everyone was taken slightly aback that the finished film was as good as it was. The very American Ben Lyon and James Hall play (respectively) Monte and Roy Rutledge, a couple of British brothers who drop out of Oxford to join the British Royal Flying Corps. Several early scenes establish Lyon and,Hall's romantic rivalry over two-timing socialite Helen (Jean Harlow). While flying a dangerous bombing mission over Germany, the brothers are shot down. The commandant (Lucien Prival), who'd earlier been cuckolded by one of the brothers, savors his opportunity for revenge. He offers the boys their freedom if they'll reveal the time of the next British attack$% if they don't cooperate, they face unspeakable consequences. Roy, driven mad by his combat experiences, is about to tell all when he is shot and killed by Monte. The latter is himself condemned to a firing squad by the disgruntled commandant -- who, it is implied, will soon meet his own doom at the hands of the British bombers. Nobody really cares about this hoary old plot, however$% Hell's Angels culls most of its strength from its crackerjack aerial sequences. The highlight is a Zeppelin raid over London, one of the most hauntingly effective sequences ever put on film. From the first ghost-like appearance of the Zeppelin breaking through the clouds, to the self-sacrificing behavior of the German crew members as they jump to their deaths rather than provide 'excess weight,' this is a scene that lingers in the memory far longer than all that good-of-the-service nonsense in the finale. Also worth noting is the star-making appearance of Jean Harlow. When Hell's Angels was begun as a silent film, Norwegian actress Greta Nissen played the female lead. During the switchover to sound, producer Hughes decided that her accent was at odds with her characterization, so he reshot her scenes with his latest discovery, Harlow. While she appears awkward in some of her scenes, there's no clumsiness whatsoever in her delivery of the classic line about slipping into 'something more comfortable.' Originally, Marshall Neilan was signed to direct the film, but became so rattled by Howard Hughes' interference that he handed the reins to Hughes himself, who was in turn given an uncredited assist by Luther Reed. Also ignored in the film's credits are the dialogue contributions by future Frankenstein director James Whale, who'd been hired as the film's English-dialect coach. Modern audiences expecting a musty museum piece are generally surprised by Hell's Angels' high entertainment content: they are also startled by the pre-code frankness of the dialogue, with phrases like 'The hell with you' bandied about with reckless abandon. In recent years, archivists have restored the film's two-color Technicolor sequence, providing us with our only color glimpses of the radiant Jean Harlow."
"our-daily-bread-city-girl";"City Girl";"1929 1930 1931";"Feb 9, 1930 Wide";"F.W. Murnau,Friedrich Wilhelm Murnau";"Berthold Viertel,Marion Orth";"David Torrence,Edith Yorke,Dawn O'Day,Charles Farrell,Roscoe Ates,Mary Duncan,Eddie Boland,Ed Brady,Guinn Williams,Tom McGuire,Jack Pennick,Guinn 'Big Boy' Will...,Richard Alexander,Anne Shirley,Mark Hamilton,Ivan Linow,Arnold Lucy,Helen Lynch,Marjorie Beebe,Joe Brown,Harry Grippe,Werner Klingler,Harry Leonard,David Rollins,William Sundholm,Pat Rooney";"1 hr. 30 min.";"6.8/10";"Unrated";"Drama,Romance,Classics";"http://www.rottentomatoes.com/m/our-daily-bread-city-girl/";"Director F.W. Murnau began City Girl as a silent film, hoping to match the artistic triumph of his earlier Sunrise. Murnau was frustrated by two elements: Fox's decision to hastily convert the film into a talkie, and his inability to secure the services of Sunrise star Janet Gaynor. The director was forced by the studio to substitute the pretty but untalented Mary Duncan, reportedly because she was the girlfriend of one of the Fox executives. The resulting film is a plodding drama about farmer's,son Charles Farrell coming to the Big City, where he falls in love with Duncan, bringing her home to meet the folks. Farrell's dad David Torrence predicts that Duncan will be unfaithful, a prophecy which apparently comes true on a dark and stormy night. Based on Elliot Lester's play +The Mud Turtle, City Girl has a fascinating image or two to its credit, but the film is a distressingly ordinary effort for the otherwise imaginative F.W. Murnau. The 1938 20th Century-Fox film City Girl is not a remake."
"1006234-dracula";"Dracula";"1930 1931 1932";"Jan 1, 1931 Wide";"Tod Browning";"Garrett Fort,Garrett Elsden Fort";"Bela Lugosi,Helen Chandler,David Manners,Dwight Frye,Edward Van Sloan,Herbert Bunston,Frances Dade,Charles Gerrard,Joan Standing,Moon Carroll,Josephine Velez,Lupita Tovar,Donald Murphy,Daisy Belmore,Pablo Álvarez Rubio,Tina Sáinz,Nicholas Bela,Michael Visaroff,Eduardo Arozamena,Carla Laemmle,Garrett Fort,Dorothy Tree,Manuel Arbo,Jeraldine Dvorak,Barry Norton,Mildred Peirce,Carmen Guerrero,John George,George Hill Mailes,Tony Isbert,Helga Liné";"1 hr. 15 min.";"7.9/10,8/10";"Unrated";"Classics,Horror";"http://www.rottentomatoes.com/m/1006234-dracula/";"'I am....Drac-u-la. I bid you velcome.' Thus does Bela Lugosi declare his presence in the 1931 screen version of Bram Stoker's Dracula. Director Tod Browning invests most of his mood and atmosphere in the first two reels, which were based on the original Stoker novel$% the rest of the film is a more stagebound translation of the popular stage play by John Balderston and Hamilton Deane. Even so, the electric tension between the elegant Dracula and the vampire hunter Professor Van Helsing (Edward,Van Sloan) works as well on the screen as it did on the stage. And it's hard to forget such moments as the lustful gleam in the eyes of Mina Harker (Helen Chandler) as she succumbs to the will of Dracula, or the omnipresent insane giggle of the fly-eating Renfield (Dwight Frye). Despite the static nature of the final scenes, Dracula is a classic among horror films, with Bela Lugosi giving the performance of a lifetime as the erudite Count (both Lugosi and co-star Frye would forever after be typecast as a result of this film, which had unfortunate consequences for both men's careers). Compare this Dracula to the simultaneously filmed Spanish-language version, which makes up for the absence of Lugosi with a stronger sense of visual dynamics in the lengthy dialogue sequences. In 1999, a special rerelease of Dracula was prepared featuring a new musical score written by Philip Glass and performed by The Kronos Quartet. ~ Hal Erickson, Rovi"
"1000642-all_quiet_on_the_western_front";"All Quiet on the Western Front";"1929 1930 1931";"Aug 24, 1930 Wide";"Lewis Milestone";"Erich Maria Remarque,Lewis Milestone,Maxwell Anderson,Del Andrews,George Abbott";"Lew Ayres,Louis Wolheim,Ben Alexander,John Wray,George 'Slim' Summer...,Russell Gleason,William Bakewell,Beryl Mercer,Raymond Griffith,Scott Kolk,Owen Davis Jr.,Walter B. Rodgers,Edmund Breese,Walter Browne Rogers,Harold Goodwin,G. Pat Collins,Richard Alexander,Arnold Lucy,Heinie Conklin,Bodil Rosing,Bill Irving,Marion Clayton,Edwin Maxwell,Yola d'Avril,Renee Damonde,Poupee Andriot,Bertha Mann,Joan Marsh,Pat Collins,Charles 'Heinie' Con...,Fred Zinnemann,Robert Parrish,Vince Barnett,Daisy Belmore,Zasu Pitts,David Tyrell,Tom London,Patricia Neal";"2 hr. 14 min.";"8.9/10,8.2/10";"PG";"Drama,Classics";"http://www.rottentomatoes.com/m/1000642-all_quiet_on_the_western_front/";"Follow a group of idealistic young men as they join the German Army during World War I and are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat."
