tuple_id_1, tuple_id_2
A974971,A963697
A959357,A970633
A959353,A992949
A960324,A937656
A959351,A980556
A959351,A990776
A960326,A943639
A998915,A921821
A935391,A923894
A935391,A962124
A935393,A962033
A998914,A957282
A935394,A976194
A935394,A951353
A998912,A970803
A960330,A906322
A935397,A964400
A935397,A933990
A960331,A944817
A998910,A975186
A935398,A985206
A974963,A927809
A974964,A943608
A974966,A977375
A998919,A910725
A959307,A962651
A959305,A983943
A949981,A931103
A950970,A907620
A959304,A978126
A959304,A931772
A949982,A942627
A949982,A926189
A959300,A938868
A949988,A972758
A974938,A974231
A998905,A935864
A974939,A931515
A998902,A906134
A950969,A954285
A950969,A949115
A911372,A957946
A911373,A923967
A935340,A925904
A935341,A923613
A911371,A913856
A911376,A918234
A935343,A955195
A935343,A983641
A950962,A918468
A950962,A977886
A935344,A993934
A911374,A960149
A911374,A991666
A935346,A977723
A950961,A955257
A935347,A943939
A935348,A974122
A998906,A906424
A974936,A986212
A974936,A907328
A935329,A962663
A960302,A966502
A949977,A958845
A949977,A914093
A960303,A918208
A949978,A970366
A960306,A998462
A974948,A931645
A911380,A918359
A911380,A962779
A950958,A983310
A950958,A912897
A911384,A951814
A935330,A932381
A935331,A960273
A911387,A944758
A974940,A992932
A935333,A921074
A935333,A970654
A935333,A997424
A911385,A986576
A935334,A941123
A974942,A933924
A974942,A942161
A974943,A991361
A974944,A948980
A935337,A919671
A935337,A906854
A935338,A960081
A935338,A929926
A935339,A952616
A974947,A972982
A959329,A939812
A950991,A981527
A959323,A983751
A959324,A934962
A959321,A940563
A959321,A908821
A959322,A980383
A911394,A927564
A935361,A983870
A950984,A956427
A911399,A917796
A911396,A950036
A911396,A989313
A935368,A965547
A950988,A967912
A974911,A957939
A950989,A916529
A974913,A930328
A950987,A982070
A959317,A961673
A959314,A938583
A959315,A929535
A949994,A942619
A959313,A988639
A959313,A943196
A949995,A996377
A949996,A998861
A949999,A940007
A949999,A985518
A950979,A996863
A974928,A956204
A974929,A928205
A935350,A934247
A935350,A991354
A950974,A930502
A950971,A990606
A935358,A982531
A974922,A998508
A935359,A959851
A959309,A952855
A950976,A908348
A984269,A957600
A960299,A918288
A984277,A957191
A984275,A935485
A984275,A970863
A984276,A910175
A984276,A972374
A984274,A961435
A984272,A940200
A984272,A923663
A984258,A944366
A984258,A908963
A959299,A951516
A959298,A928601
A959291,A972899
A998899,A942187
A984266,A905940
A984265,A947572
A984260,A959478
A984260,A908529
A984261,A965986
A960279,A946861
A998895,A940371
A998890,A992180
A960282,A962567
A960282,A981324
A960284,A978756
A960284,A963646
A960285,A960348
A998888,A981066
A984251,A984553
A998885,A936720
A998883,A939468
A998883,A934567
A998880,A998815
A998880,A952648
A960291,A943014
A960292,A941714
A960294,A977716
A998878,A913852
A960298,A977314
A984240,A985119
A984226,A937286
A959269,A997654
A959266,A925053
A960255,A939111
A960257,A985477
A998872,A911138
A960258,A949701
A960258,A995828
A998870,A967810
A984215,A918166
A984215,A979583
A984213,A976860
A984213,A989949
A960268,A967385
A998861,A949996
A960269,A920299
A959252,A905319
A959250,A982124
A960271,A991712
A960273,A935331
A998857,A991930
A998857,A976461
A935298,A939560
A935299,A925943
A984222,A904820
A984223,A923216
A984220,A977466
A984209,A924925
A984206,A948317
A974882,A942263
A974883,A973807
A984203,A970504
A960234,A936462
A960235,A966535
A998850,A945222
A959287,A933921
A959287,A906347
A998851,A953202
A959284,A946226
A960238,A918045
A959280,A972947
A960240,A982815
A960241,A911688
A998846,A944068
A960243,A991477
A960243,A906405
A984211,A935685
A974875,A972463
A984212,A967217
A974878,A940574
A974892,A954738
A974893,A978244
A959279,A942128
A974894,A958776
A974895,A998830
A998842,A959060
A960246,A975295
A959276,A996534
A960248,A956517
A959274,A945057
A960249,A938092
A960249,A937447
A998839,A912476
A960250,A921882
A960250,A906999
A960250,A951287
A998837,A908081
A998834,A960086
A998834,A933500
A984200,A921622
A925911,A957628
A925911,A975645
A925904,A935340
A925902,A924240
A925902,A943447
A925903,A958236
A925923,A953596
A925923,A991900
A925914,A928282
A984290,A960107
A984295,A909578
A984294,A932250
A984281,A949086
A984288,A991133
A984289,A952091
A984289,A980663
A984287,A944054
A984287,A973070
A984284,A989343
A984285,A925079
A984285,A982298
A984282,A996191
A935417,A954600
A935419,A974320
A911453,A973588
A911454,A957611
A911451,A967784
A911451,A938181
A935422,A939152
A911452,A988727
A911455,A953372
A911456,A976712
A935406,A918937
A911459,A922477
A935408,A979404
A911465,A914252
A935410,A991470
A935411,A979838
A935411,A980509
A935412,A943284
A935413,A953559
A935415,A935382
A911467,A904960
A935439,A905891
A959407,A935613
A959405,A929921
A959405,A991971
A959400,A994357
A959400,A941541
A935442,A975563
A935443,A969174
A935443,A929990
A935444,A974415
A935444,A961792
A911474,A913245
A935447,A954410
A911477,A977092
A911477,A985372
A911482,A925359
A911482,A971705
A911480,A968211
A911484,A970667
A935433,A967562
A935433,A953627
A935434,A921669
A911488,A906913
A935438,A995585
A911406,A952212
A911407,A959655
A911407,A994941
A911410,A937289
A911410,A936593
A911413,A978904
A911414,A928671
A911411,A904763
A911417,A970170
A911415,A995121
A911420,A984534
A911428,A941533
A911429,A927356
A911431,A985732
A911432,A956469
A911435,A911071
A935405,A961714
A911439,A976794
A911442,A927792
A911443,A962640
A911446,A957714
A911447,A927672
A959468,A968290
A959469,A919728
A959469,A928760
A984425,A947006
A984425,A941282
A984423,A968543
A960454,A983461
A960458,A991826
A960462,A946541
A984431,A972479
A959459,A930104
A984414,A967958
A959454,A926668
A959450,A937234
A935492,A939212
A935493,A915348
A935494,A979035
A960473,A991628
A935496,A950359
A984420,A971313
A960439,A929685
A984404,A992389
A984403,A992302
A959484,A933184
A959485,A960070
A959485,A953207
A960435,A936109
A959480,A923909
A959480,A981289
A959481,A990621
A984410,A988807
A984410,A919572
A959479,A957024
A959478,A984260
A959478,A911031
A959478,A994651
A959478,A908529
A960443,A933338
A960444,A973050
A960445,A940774
A960445,A958955
A960445,A928216
A959471,A938236
A960447,A931032
A960447,A994315
A960450,A957783
A960452,A986068
A959428,A995592
A960417,A989672
A960418,A933833
A960418,A907025
A959426,A983279
A960419,A948609
A960419,A920495
A959420,A972644
A959421,A987614
A959421,A906705
A960411,A974520
A960414,A947040
A911494,A947439
A935462,A928920
A935462,A995379
A935466,A988817
A935466,A961281
A935467,A973586
A935469,A990586
A911499,A931413
A960428,A950898
A959416,A956286
A959414,A970156
A959414,A913039
A959411,A908043
A960420,A907420
A960422,A940271
A935450,A953031
A935451,A964947
A935451,A993503
A935456,A954322
A935456,A972426
A959446,A945579
A959444,A913709
A959442,A911175
A959441,A971669
A935481,A912592
A935485,A984275
A935485,A970863
A935487,A943977
A935489,A917178
A960406,A959023
A960407,A954603
A960407,A930893
A959435,A996052
A959436,A996989
A959434,A943267
A959430,A909798
A960405,A913468
A935470,A996805
A935471,A980137
A935471,A913017
A935472,A978381
A935477,A939399
A935478,A970376
A935479,A923459
A984389,A928095
A984391,A930206
A984399,A982538
A984397,A944509
A984378,A973302
A984379,A968981
A984380,A997751
A984380,A913238
A984386,A909784
A984386,A942550
A984382,A907616
A984367,A949537
A984375,A967783
A984371,A930365
A984358,A970573
A984356,A910408
A984356,A942063
A984364,A962431
A984364,A933235
A984361,A958795
A984362,A990746
A984348,A968048
A984348,A972679
A984346,A910651
A960377,A946533
A998993,A921915
A960379,A958721
A998994,A996300
A998994,A972038
A959383,A964009
A998991,A905170
A959384,A996328
A959381,A972609
A959380,A981086
A998988,A934834
A998989,A940357
A998989,A923609
A960385,A965623
A984353,A954440
A984337,A908234
A984334,A910333
A998984,A955865
A959374,A967191
A960389,A933044
A998982,A963176
A960390,A939578
A960390,A990220
A960392,A950530
A960392,A914210
A960394,A944596
A998977,A944889
A998978,A952428
A998978,A912417
A998978,A975714
A998975,A998646
A984329,A978922
A984329,A923044
A984327,A909461
A984327,A966531
A984326,A963279
A984326,A918146
A998973,A955114
A960356,A967267
A960357,A936933
A960357,A932417
A960358,A980104
A960358,A904978
A998970,A933269
A960360,A911339
A998966,A944161
A998966,A936535
A960363,A939501
A974995,A988000
A974995,A918865
A984332,A958893
A984333,A959151
A984333,A953244
A974998,A914718
A984331,A933773
A984318,A988372
A984318,A922234
A984319,A989845
A984316,A912546
A984314,A994267
A959399,A965262
A960366,A976035
A998963,A921214
A998963,A967711
A960367,A922216
A960367,A936051
A998960,A924887
A959397,A918187
A960368,A936236
A998961,A972225
A959392,A911890
A959393,A932270
A960370,A923705
A998957,A963219
A960374,A909732
A960374,A912241
A911402,A915867
A911400,A967086
A911401,A958242
A911401,A938114
A959505,A932471
A959506,A922931
A959504,A992125
A959500,A939541
A935540,A985923
A935540,A995484
A911575,A932347
A935542,A984143
A935542,A935820
A911572,A916343
A935543,A990913
A911579,A952201
A935548,A940871
A935527,A997394
A935527,A962539
A960506,A992149
A960509,A910943
A960500,A912512
A960503,A997027
A911580,A960556
A911583,A914213
A935533,A909945
A911589,A906341
A911587,A994139
A911587,A954946
