tuple_id_1, tuple_id_2
A905191,A937548
A905191,A988905
A905192,A941603
A905195,A972626
A905198,A934419
A905199,A944528
A905199,A981106
A905201,A991823
A905203,A950668
A905203,A982635
A905205,A917278
A905205,A949593
A905211,A957937
A905211,A961806
A905215,A973617
A905215,A978301
A905219,A961953
A905219,A973487
A905220,A958522
A905224,A936917
A905226,A987833
A905236,A938086
A905240,A926603
A905243,A905762
A905244,A996131
A905249,A956353
A905249,A965551
A905251,A914517
A905251,A934967
A905252,A946515
A905257,A978525
A905261,A925717
A905263,A959769
A905264,A934642
A905264,A941168
A905268,A955347
A905270,A989162
A905276,A945740
A905281,A944454
A905281,A994765
A905286,A912511
A905286,A917975
A905287,A922596
A905289,A911869
A905290,A964512
A905290,A989911
A905298,A973916
A905303,A981649
A905305,A954002
A905308,A927536
A905308,A992365
A905309,A940896
A905313,A949318
A905313,A995302
A905316,A970786
A905317,A927978
A905318,A968052
A905319,A959252
A905320,A920464
A905323,A986376
A905326,A919853
A905329,A920356
A905329,A950171
A905331,A905661
A905335,A925009
A905338,A930401
A905340,A907951
A905344,A962631
A905347,A993060
A905351,A982829
A905358,A951557
A905360,A912336
A905361,A932559
A905361,A939037
A905362,A968118
A905362,A971004
A905368,A917386
A905373,A925932
A905376,A977023
A905378,A982974
A905378,A996598
A905380,A930941
A905380,A953203
A905384,A965151
A905385,A909915
A905385,A997202
A905386,A945929
A905388,A913578
A905388,A945281
A905389,A942678
A905397,A965793
A905400,A986038
A905402,A923498
A905403,A955509
A905404,A937983
A905404,A947237
A905407,A995318
A905408,A931197
A905408,A975854
A905409,A937894
A905411,A982441
A905411,A991130
A905412,A906844
A905412,A930516
A905413,A908091
A905413,A964808
A905419,A968593
A905424,A953812
A905428,A920840
A905433,A939031
A905437,A923289
A905438,A933232
A905440,A996881
A905446,A936266
A905446,A979027
A905447,A921930
A905448,A962531
A905449,A944926
A905449,A967007
A905451,A987927
A905452,A910893
A905453,A905541
A905453,A906273
A905454,A938916
A905456,A956090
A905456,A973265
A905459,A919087
A905462,A914658
A905462,A927226
A905464,A941152
A905467,A966959
A905470,A974332
A905470,A975383
A905471,A910349
A905471,A930731
A905474,A921465
A905478,A940609
A905482,A976755
A905484,A947711
A905486,A944875
A905489,A958186
A905491,A934003
A905491,A971277
A905495,A961721
A905506,A929741
A905506,A987541
A905507,A928392
A905510,A956486
A905515,A930851
A905515,A975630
A905526,A965261
A905533,A962144
A905533,A971510
A905534,A943997
A905539,A989123
A905541,A906273
A905543,A994938
A905547,A980501
A905548,A987790
A905550,A914513
A905550,A933989
A905553,A919379
A905557,A926284
A905557,A934897
A905558,A909258
A905559,A976963
A905560,A996577
A905562,A915843
A905563,A906242
A905572,A926293
A905572,A928132
A905574,A912127
A905574,A998057
A905576,A914962
A905579,A960553
A905580,A958463
A905592,A917072
A905595,A953580
A905595,A983894
A905596,A953765
A905599,A998765
A905600,A923538
A905605,A940368
A905605,A991554
A905608,A924576
A905609,A993414
A905611,A924340
A905611,A951222
A905619,A927639
A905619,A943949
A905621,A997773
A905622,A939451
A905627,A947424
A905630,A988160
A905633,A967729
A905635,A916218
A905635,A987535
A905639,A948162
A905639,A971696
A905641,A995341
A905642,A931423
A905642,A932012
A905644,A929303
A905648,A922760
A905652,A937481
A905652,A938257
A905656,A928606
A905656,A929034
A905658,A922659
A905658,A976751
A905660,A948142
A905664,A981246
A905667,A911679
A905667,A948212
A905668,A961368
A905673,A909686
A905674,A991581
A905675,A907971
A905675,A928074
A905679,A923368
A905683,A913693
A905683,A948751
A905684,A912077
A905686,A907074
A905688,A918906
A905688,A949384
A905691,A965387
A905700,A946807
A905703,A964717
A905705,A925987
A905709,A951726
A905714,A952893
A905716,A982345
A905717,A981721
A905720,A972031
A905723,A962778
A905726,A941526
A905727,A942663
A905728,A931592
A905728,A963620
A905729,A912997
A905729,A957931
A905731,A923754
A905734,A989610
A905738,A908233
A905738,A962297
A905739,A952994
A905741,A942750
A905743,A908287
A905750,A932059
A905750,A954724
A905751,A984528
A905754,A944453
A905756,A940506
A905760,A950011
A905760,A954573
A905761,A939421
A905761,A997686
A905762,A948696
A905763,A967925
A905764,A936224
A905769,A930318
A905770,A933238
A905770,A936869
A905771,A970513
A905771,A994358
A905772,A957818
A905779,A960178
A905780,A988542
A905781,A906875
A905782,A980777
A905786,A994411
A905788,A914859
A905790,A929403
A905794,A968927
A905794,A987766
A905795,A910817
A905795,A911318
A905797,A951965
A905797,A987064
A905798,A912583
A905799,A976025
A905799,A985448
A905800,A924769
A905800,A956481
A905803,A919134
A905804,A933789
A905804,A946354
A905805,A950885
A905805,A972898
A905806,A976654
A905809,A944440
A905810,A930152
A905815,A944845
A905816,A915284
A905816,A944717
A905817,A970329
A905821,A955919
A905823,A964525
A905824,A980969
A905825,A910194
A905829,A970886
A905830,A936428
A905830,A967759
A905833,A911735
A905833,A951504
A905836,A906847
A905838,A977397
A905840,A950356
A905840,A960569
A905842,A983319
A905849,A912930
A905849,A985421
A905850,A922734
A905858,A977556
A905861,A956396
A905862,A922018
A905862,A997945
A905863,A946332
A905863,A975184
A905864,A921637
A905868,A917662
A905868,A917896
A905871,A945061
A905871,A989691
A905874,A926259
A905875,A915260
A905875,A947717
A905877,A967098
A905878,A929144
A905878,A958715
A905880,A921513
A905880,A938449
A905882,A914217
A905884,A927923
A905888,A917012
A905888,A989273
A905891,A935439
A905892,A955997
A905892,A967939
A905894,A970531
A905895,A912271
A905896,A983366
A905898,A942694
A905898,A970157
A905907,A933559
A905907,A995094
A905912,A924040
A905912,A965324
A905913,A918849
A905913,A939763
A905913,A969278
A905914,A983728
A905914,A987119
A905920,A966706
A905920,A982946
A905921,A993585
A905926,A907701
A905927,A981252
A905929,A942320
A905929,A986489
A905930,A929902
A905931,A933056
A905932,A945492
A905933,A959145
A905933,A969525
A905934,A938684
A905937,A917390
A905937,A930194
A905940,A956496
A905940,A984266
A905948,A906731
A905948,A962543
A905950,A976987
A905957,A907603
A905957,A969932
A905960,A994170
A905961,A921477
A905961,A983007
A905963,A933830
A905963,A939492
A905964,A943193
A905967,A906094
A905967,A977818
A905969,A933311
A905969,A997769
A905972,A944581
A905974,A960169
A905975,A909958
A905975,A914845
A905976,A979182
A905980,A963471
A905982,A934218
A905982,A997333
A905984,A953706
A905987,A907767
A905988,A976992
A905991,A992253
A905993,A955164
A905996,A907306
A905996,A980047
A905997,A974663
A905999,A937697
A906001,A949430
A906003,A906037
A906003,A940814
A906004,A994887
A906008,A966518
A906010,A990648
A906011,A909913
A906011,A947506
A906012,A916697
A906014,A987152
A906019,A916016
A906019,A997371
A906025,A906186
A906026,A934946
A906029,A962020
A906029,A976463
A906035,A949356
A906037,A940814
A906041,A976427
A906041,A979238
A906043,A957956
A906049,A915200
A906049,A921555
A906050,A945908
A906052,A922498
A906052,A997192
A906053,A982637
A906059,A939561
A906064,A939892
A906067,A925132
A906078,A965243
A906081,A985109
A906081,A990241
A906084,A944384
A906084,A976376
A906085,A921493
A906087,A957681
A906088,A925054
A906089,A946573
A906089,A989154
A906090,A943024
A906093,A922173
A906094,A977818
A906096,A907606
A906096,A956997
A906099,A940690
A906099,A962666
A906100,A935594
A906101,A958506
A906107,A926897
A906108,A924936
A906114,A913120
A906118,A983459
A906119,A956871
A906119,A957875
A906120,A914940
A906121,A944420
A906122,A964083
A906123,A920885
A906123,A945934
A906123,A960549
A906129,A910484
A906131,A939465
A906131,A976300
A906133,A965134
A906134,A998902
A906136,A947379
A906139,A911501
A906139,A920003
A906145,A921916
A906146,A973846
A906148,A952719
A906150,A944661
A906152,A985166
A906152,A992486
A906159,A948170
A906159,A998327
A906162,A932506
A906162,A949507
A906167,A982737
A906170,A931970
A906170,A954512
A906172,A907237
A906174,A932124
A906174,A954094
A906176,A913061
A906183,A987738
A906183,A996694
A906184,A920370
A906188,A988605
A906194,A984962
A906198,A924026
A906198,A975283
A906199,A966646
A906199,A983851
A906202,A911354
A906202,A969303
A906213,A941936
A906214,A911732
A906214,A918453
A906215,A974129
A906215,A985329
A906219,A952754
A906219,A957555
A906220,A917533
A906220,A923632
A906221,A971168
A906223,A920665
A906226,A970323
A906227,A913990
A906228,A932978
A906228,A938728
A906235,A928925
A906235,A991246
A906236,A944026
A906237,A963740
A906240,A998390
A906243,A941253
A906243,A997412
A906250,A927133
A906250,A933547
A906255,A967718
A906258,A967041
A906258,A998939
A906260,A982951
A906261,A941903
A906265,A991142
A906266,A917680
A906266,A995992
A906267,A941050
A906267,A973613
A906269,A965265
A906271,A946170
A906274,A909127
A906274,A919421
A906275,A923361
A906276,A959827
A906277,A977529
A906278,A951054
A906278,A990783
A906286,A945200
A906287,A947197
A906293,A927544
A906293,A940171
A906295,A987586
A906296,A925619
A906297,A961349
A906298,A912634
A906298,A918690
A906300,A937933
A906300,A954412
A906303,A907560
A906303,A926342
A906306,A948964
A906309,A972744
A906312,A995609
A906312,A997921
A906314,A980533
A906320,A975046
A906321,A993560
A906322,A960330
A906324,A992090
A906337,A923867
A906341,A911589
A906342,A917302
A906344,A938535
A906345,A943513
A906347,A933921
A906347,A959287
A906348,A996741
A906349,A952123
A906349,A961759
A906350,A953644
A906350,A953999
A906358,A981828
A906359,A942884
A906359,A957909
A906368,A992853
A906368,A995463
A906370,A935514
A906373,A915022
A906374,A981243
A906377,A983477
A906377,A989890
A906378,A940708
A906379,A923511
A906383,A910783
A906385,A977976
A906387,A924168
A906387,A928467
A906391,A971041
A906394,A913184
A906395,A919792
A906396,A932713
A906397,A908239
A906400,A990010
A906402,A997672
A906403,A913399
A906405,A960243
A906405,A991477
A906408,A906888
A906408,A945533
A906409,A951388
A906410,A980309
A906416,A967186
A906419,A925544
A906419,A973725
A906420,A908568
A906420,A923247
A906421,A990144
A906423,A910280
A906423,A926799
A906424,A998906
A906426,A977112
A906428,A927777
A906428,A968743
A906429,A988678
A906432,A912179
A906432,A932984
A906433,A919864
A906433,A954755
A906434,A956993
A906435,A920463
A906435,A927645
A906436,A952999
A906437,A932441
A906440,A955438
A906440,A985505
A906441,A948791
A906447,A954517
A906447,A977400
A906450,A961576
A906451,A968360
A906453,A918225
A906453,A958417
A906455,A926138
A906456,A971329
A906460,A921644
A906461,A987808
A906462,A934194
A906465,A971781
A906465,A992079
A906466,A931040
A906468,A919015
A906468,A982708
A906469,A917183
A906469,A976265
A906471,A961786
A906473,A969229
A906475,A938162
A906481,A936158
A906482,A948567
A906483,A958766
A906487,A920163
A906488,A976943
A906490,A919753
A906490,A973628
A906494,A993508
A906495,A909337
A906504,A909390
A906505,A945152
A906505,A975315
A906508,A963114
A906509,A986338
A906509,A998044
A906513,A929249
A906514,A946267
A906517,A920808
A906520,A985947
A906521,A940028
A906521,A944310
A906522,A909276
A906526,A984510
A906527,A919914
A906527,A963489
A906530,A942418
A906530,A991489
A906531,A916611
A906531,A960016
A906533,A998148
A906536,A937623
A906544,A979668
A906547,A915362
A906547,A964193
A906548,A907192
A906548,A927079
A906560,A976584
A906563,A985195
A906565,A969805
A906566,A942459
A906571,A971598
A906571,A975624
A906572,A945234
A906573,A944206
A906576,A948300
A906579,A969386
A906579,A981937
